num_steps,alpha,beta,num_ranges,range_width,range_sep,volatility,init_price,investor_init_value,final_price,investor_final_value,investor_pnl,net_return,investor_il_abs,investor_il_pct,strategy_total_fees,investor_fees
100,1.0,1.0,10,60,0,0.01,3207.8600804163634,82078.60080416364,2854.6683187146286,79745.88615572713,-2332.7146484365076,-0.028420497249974752,-0.0003819979901891202,-4.8633242638516905e-09,2398.40517316576,1199.2025865828434
100,1.0,1.0,10,60,60,0.01,3207.8600804163634,82078.60080416364,2854.6683187146286,80133.6238436871,-1944.9769604765315,-0.023696517014430762,-0.0003859989228658378,-4.914261267355517e-09,3173.88054108384,1586.9402705418906
100,1.0,1.0,10,60,240,0.01,3207.8600804163634,82078.60080416364,2854.6683187146286,80028.2561069644,-2050.344697199238,-0.02498025888734723,-0.0002579998108558357,-3.2846684339442083e-09,2963.145323636607,1481.5726618182955
100,1.0,1.0,10,60,0,0.05,3239.493942086238,82394.93942086239,1807.916477201489,68404.90769961347,-13990.031721248917,-0.16979236612809068,-4.7999375965446234e-05,-7.05052362586816e-10,651.4857591984312,325.74287959920565
100,1.0,1.0,10,60,60,0.05,3239.493942086238,82394.93942086239,1807.916477201489,68278.07847444613,-14116.860946416258,-0.17133165028872965,-5.599998985417187e-05,-8.225716346800957e-10,397.8272928625148,198.9136464312537
100,1.0,1.0,10,60,240,0.05,3239.493942086238,82394.93942086239,1807.916477201489,68379.29162027022,-14015.647800592167,-0.1701032599708837,-7.400094182230532e-05,-1.0869836912676795e-09,600.2535485087878,300.12677425439233
100,1.0,1.0,20,60,0,0.05,3239.493942086238,82394.93942086239,1807.916477201489,68603.82140103621,-13791.118019826172,-0.1673782166327349,-0.00010299986752215773,-1.5129425848141073e-09,1049.313052042946,524.6565260214616
100,1.0,1.0,20,60,60,0.05,3239.493942086238,82394.93942086239,1807.916477201489,68985.70428479822,-13409.235136064162,-0.16274343097179278,-0.0001340006710961461,-1.968306625747991e-09,1813.078757565327,906.5393787826551
100,1.0,1.0,20,60,240,0.05,3239.493942086238,82394.93942086239,1807.916477201489,69567.6539019825,-12827.285518879886,-0.15568050184926796,-0.0002110011992044747,-3.099350585617207e-09,2976.977837932828,1488.4889189664102
100,1.0,5.0,10,60,0,0.01,3207.8600804163634,82078.60080416364,2854.6683187146286,79745.88615572632,-2332.7146484373225,-0.028420497249984633,-0.0003819971898337826,-4.863314074301921e-09,2398.405173165756,1199.2025865828293
100,1.0,5.0,10,60,60,0.01,3207.8600804163634,82078.60080416364,2854.6683187146286,80133.62384368651,-1944.9769604771282,-0.02369651701443798,-0.0003859983407892287,-4.9142538567738665e-09,3173.88054108384,1586.9402705418786
100,1.0,5.0,10,60,240,0.01,3207.8600804163634,82078.60080416364,2854.6683187146286,80028.25610696353,-2050.344697200111,-0.024980258887357887,-0.0002579989522928372,-3.2846575033362735e-09,2963.145323636607,1481.572661818277
100,1.0,5.0,10,60,0,0.05,3239.493942086238,82394.93942086239,1807.916477201489,68404.90769961324,-13990.03172124915,-0.16979236612809345,-4.799914313480258e-05,-7.05048942588283e-10,651.48575919843,325.74287959920173
100,1.0,5.0,10,60,60,0.05,3239.493942086238,82394.93942086239,1807.916477201489,68278.0784744456,-14116.860946416782,-0.17133165028873598,-5.599946598522365e-05,-8.225639396833963e-10,397.8272928625148,198.9136464312522
100,1.0,5.0,10,60,240,0.05,3239.493942086238,82394.93942086239,1807.916477201489,68379.29162026932,-14015.64780059307,-0.1701032599708946,-7.400003960356116e-05,-1.0869704387733639e-09,600.2535485087874,300.1267742543883
100,1.0,5.0,20,60,0,0.05,3239.493942086238,82394.93942086239,1807.916477201489,68603.8214010356,-13791.118019826783,-0.16737821663274233,-0.00010299925634171814,-1.512933607317958e-09,1049.313052042945,524.6565260214542
100,1.0,5.0,20,60,60,0.05,3239.493942086238,82394.93942086239,1807.916477201489,68985.70428479722,-13409.235136065166,-0.16274343097180488,-0.00013399968156591058,-1.968292090754225e-09,1813.0787575653264,906.5393787826423
100,1.0,5.0,20,60,240,0.05,3239.493942086238,82394.93942086239,1807.916477201489,69567.65390198184,-12827.28551888054,-0.15568050184927584,-0.00021100055892020464,-3.0993411806212412e-09,2976.977837932828,1488.4889189663982
100,5.0,1.0,10,60,0,0.01,3207.8600804163634,82078.60080416364,2854.6683187146286,79745.88615572745,-2332.7146484361874,-0.028420497249970866,-0.0003819983103312552,-4.863328339671598e-09,2398.405173165762,1199.2025865828493
100,5.0,1.0,10,60,60,0.01,3207.8600804163634,82078.60080416364,2854.6683187146286,80133.62384368808,-1944.9769604755566,-0.023696517014418883,-0.0003859998832922429,-4.91427349481524e-09,3173.8805410838404,1586.9402705419118
100,5.0,1.0,10,60,240,0.01,3207.8600804163634,82078.60080416364,2854.6683187146286,80028.25610696472,-2050.344697198918,-0.024980258887343343,-0.0002580001309979707,-3.284672509764116e-09,2963.1453236366065,1481.5726618183032
100,5.0,1.0,10,60,0,0.05,3239.493942086238,82394.93942086239,1807.916477201489,68404.90769961354,-13990.031721248844,-0.1697923661280898,-4.7999448725022376e-05,-7.050534313363576e-10,651.4857591984318,325.74287959920724
100,5.0,1.0,10,60,60,0.05,3239.493942086238,82394.93942086239,1807.916477201489,68278.07847444706,-14116.860946415327,-0.17133165028871833,-5.600090662483126e-05,-8.225851009243197e-10,397.8272928625147,198.9136464312563
100,5.0,1.0,10,60,240,0.05,3239.493942086238,82394.93942086239,1807.916477201489,68379.29162027065,-14015.64780059173,-0.17010325997087838,-7.400136382784694e-05,-1.0869898900150209e-09,600.2535485087881,300.1267742543941
100,5.0,1.0,20,60,0,0.05,3239.493942086238,82394.93942086239,1807.916477201489,68603.82140103717,-13791.118019825211,-0.16737821663272323,-0.00010300081339664757,-1.512956478558148e-09,1049.3130520429463,524.6565260214697
100,5.0,1.0,20,60,60,0.05,3239.493942086238,82394.93942086239,1807.916477201489,68985.70428479886,-13409.235136063522,-0.162743430971785,-0.00013400131138041615,-1.9683160307439567e-09,1813.078757565327,906.5393787826634
100,5.0,1.0,20,60,240,0.05,3239.493942086238,82394.93942086239,1807.916477201489,69567.65390198278,-12827.28551887961,-0.15568050184926463,-0.00021100147569086403,-3.099354646865465e-09,2976.977837932828,1488.4889189664143
100,2.0,2.0,10,60,0,0.01,3207.8600804163634,82078.60080416364,2854.6683187146286,79745.88615572729,-2332.7146484363475,-0.028420497249972754,-0.0003819981502601877,-4.863326301761644e-09,2398.405173165761,1199.2025865828464
100,2.0,2.0,10,60,60,0.01,3207.8600804163634,82078.60080416364,2854.6683187146286,80133.62384368696,-1944.976960476677,-0.02369651701443254,-0.00038599877734668553,-4.9142594147101046e-09,3173.88054108384,1586.9402705418875
100,2.0,2.0,10,60,240,0.01,3207.8600804163634,82078.60080416364,2854.6683187146286,80028.25610696459,-2050.344697199049,-0.024980258887345008,-0.00025800000003073364,-3.2846708423832447e-09,2963.145323636607,1481.5726618182991
100,2.0,2.0,10,60,0,0.05,3239.493942086238,82394.93942086239,1807.916477201489,68404.9076996135,-13990.031721248888,-0.16979236612809034,-4.799940506927669e-05,-7.050527900866327e-10,651.4857591984315,325.74287959920645
100,2.0,2.0,10,60,60,0.05,3239.493942086238,82394.93942086239,1807.916477201489,68278.078474446,-14116.86094641639,-0.1713316502887312,-5.599985888693482e-05,-8.225697109309208e-10,397.8272928625148,198.9136464312533
100,2.0,2.0,10,60,240,0.05,3239.493942086238,82394.93942086239,1807.916477201489,68379.29162027041,-14015.647800591978,-0.17010325997088138,-7.400113099720329e-05,-1.0869864700164878e-09,600.253548508788,300.1267742543932
100,2.0,2.0,20,60,0,0.05,3239.493942086238,82394.93942086239,1807.916477201489,68603.82140103608,-13791.118019826303,-0.16737821663273644,-0.00010299973655492067,-1.5129406610649326e-09,1049.3130520429463,524.6565260214612
100,2.0,2.0,20,60,60,0.05,3239.493942086238,82394.93942086239,1807.916477201489,68985.70428479834,-13409.235136064046,-0.16274343097179134,-0.00013400078751146793,-1.968308335747257e-09,1813.078757565327,906.5393787826566
100,2.0,2.0,20,60,240,0.05,3239.493942086238,82394.93942086239,1807.916477201489,69567.65390198263,-12827.285518879755,-0.1556805018492663,-0.00021100133017171174,-3.099352509366382e-09,2976.977837932828,1488.4889189664132
